scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
"One corrupted share, enough redundancy",13,3,5,5,1,Success,True,True,True,,0.02239999594166875,0.1660999987507239,1,15.0
"One corrupted share, enough redundancy",14,3,5,5,1,Success,True,True,True,,0.012100004823878407,0.16199999663513154,1,15.0
"One corrupted share, enough redundancy",15,3,5,5,1,Success,True,True,True,,0.01170000177808106,0.1630000042496249,1,15.0
"One corrupted share, enough redundancy",16,3,5,5,1,Success,True,True,True,,0.011900003300979733,0.16170000890269876,1,15.0
"One corrupted share, enough redundancy",17,3,5,5,1,Success,True,True,True,,0.011999989510513842,0.1632999919820577,1,15.0
"One corrupted share, enough redundancy",18,3,5,5,1,Success,True,True,True,,0.010700008715502918,0.1934000028995797,1,15.0
"One corrupted share, enough redundancy",19,3,5,5,1,Success,True,True,True,,0.011800002539530396,0.15720000374130905,1,15.0
"One corrupted share, enough redundancy",20,3,5,5,1,Success,True,True,True,,0.01200000406242907,0.16250000044237822,1,15.0
"One corrupted share, enough redundancy",21,3,5,5,1,Success,True,True,True,,0.011500000255182385,0.16599999798927456,1,15.0
"One corrupted share, enough redundancy",22,3,5,5,1,Success,True,True,True,,0.011800002539530396,0.1584999990882352,1,15.0
"One corrupted share, enough redundancy",23,3,5,5,1,Success,True,True,True,,0.011500000255182385,0.18230000569019467,1,15.0
"One corrupted share, enough redundancy",24,3,5,5,1,Success,True,True,True,,0.01200000406242907,0.1576000067871064,1,15.0
"One corrupted share, enough redundancy",25,3,5,5,1,Success,True,True,True,,0.011800002539530396,0.1736999984132126,1,15.0
"One corrupted share, not enough redundancy",1,3,5,4,1,Failure,False,False,False,DecodingFailure,0.012199991033412516,0.044500004150904715,0,15.0
"One corrupted share, not enough redundancy",2,3,5,4,1,Failure,False,False,False,DecodingFailure,0.012099990271963179,0.04329999501351267,0,15.0
"One corrupted share, not enough redundancy",3,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011800002539530396,0.03949999518226832,0,15.0
"One corrupted share, not enough redundancy",4,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011900003300979733,0.041399995097890496,0,15.0
"One corrupted share, not enough redundancy",5,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011500000255182385,0.041400009649805725,0,15.0
"One corrupted share, not enough redundancy",6,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011600001016631722,0.03919999289792031,0,15.0
"One corrupted share, not enough redundancy",7,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011399999493733048,0.037999998312443495,0,15.0
"One corrupted share, not enough redundancy",8,3,5,4,1,Failure,False,False,False,DecodingFailure,0.012600008631125093,0.03959999594371766,0,15.0
"One corrupted share, not enough redundancy",9,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011099997209385037,0.038700003642588854,0,15.0
"One corrupted share, not enough redundancy",10,3,5,4,1,Failure,False,False,False,DecodingFailure,0.011299998732283711,0.03840000135824084,0,15.0
"One corrupted share, not enough redundancy",11,3,5,4,1,Failure,False,False,False,DecodingFailure,0.010799994925037026,0.037699996028095484,0,15.0
"One corrupted share, not enough redundancy",12,3,5,4,1,Failure,False,False,False,DecodingFailure,0.010899995686486363,0.04650000482797623,0,15.0
